Posting_Link,Price,Year,Contact,ZipCode,Class,Category,Length,Make,Material,Fuel
https://www.boattrader.com/listing/2012-godfrey-san-pan-2500-103660295/,"$52,998",2012,(866) 689-9698,77301,Power,Pontoon Boats,278',Single Outboard,Aluminum,Gas
https://www.boattrader.com/listing/2020-nautique-210-super-air-nautique-103692932/,Request a Price,2020,(972) 818-5835,75067,Power,Ski and Wakeboard Boats,210',Other,Fiberglass,Gas
https://www.boattrader.com/listing/1999-duckworth-passenger-vessel-103319626/,"$650,000",1999,(813) 437-1921,34652,Power,"Commercial Boats, Passenger",154',Other,Steel,Diesel
https://www.boattrader.com/listing/2019-custom-explorer-vessel-conversion-103513928/,"$49,999",2019,(410) 449-7509,21140,Power,"Commercial Boats, Utility Boats, Trawlers",125',Twin Inboard,Steel,Diesel
https://www.boattrader.com/listing/2018-suncatcher-v322-rc-103683738/,"$30,000",2018,(501) 214-7591,71913,Power,Pontoon Boats,123',Single Outboard,Aluminum,Gas
https://www.boattrader.com/listing/1994-custom-houseboat-103224540/,"$350,000",1994,(941) 241-2715,33950,Power,"House Boats, Barge",120',Other,Steel,
https://www.boattrader.com/listing/2001-swiftships-custom-raised-pilot-house--103500630/,"$2,800,000",2001,(504) 608-2106,70124,Power,"Motor Yachts, Pilothouse",118',Other,Aluminum,Diesel
https://www.boattrader.com/listing/1977-kelly-houseboat-102760815/,"$305,000",1977,(504) 608-2106,70124,Power,"House Boats, Motor Yachts",105',Twin Inboard,Steel,Diesel
https://www.boattrader.com/listing/1999-sumerset-18-x-94-103537654/,"$210,000",1999,(512) 843-8100,78734,Power,House Boats,94',Other,Aluminum,Gas
https://www.boattrader.com/listing/1981-swiftship-passenger-102925111/,"$375,000",1981,(361) 717-7162,78373,Power,Commercial Boats,91',Other,Aluminum,Diesel
https://www.boattrader.com/listing/1999-sumerset-18-x-90-house-boat-103590255/,"$230,000",1999,(512) 843-8100,78734,Power,House Boats,90',Other,Aluminum,Gas
https://www.boattrader.com/listing/1996-lakeview-yachts-18x80-103539264/,"$148,750",1996,(941) 914-9217,34233,Power,"House Boats, Motor Yachts, Trawlers",83',Twin Inboard,Aluminum,Gas
https://www.boattrader.com/listing/2001-hargrave-capri-103449525/,"$1,395,000",2001,(954) 249-0360,33316,Power,"Motor Yachts, Flybridge",82',Twin Inboard,Fiberglass,Diesel
https://www.boattrader.com/listing/2001-sumerset-houseboats-80-103718247/,"$233,400",2001,(941) 914-9217,34233,Power,"House Boats, Motor Yachts, Trawlers",80',Other,Other,
https://www.boattrader.com/listing/2018-sailabration-pontoon-houseboat-103696283/,"$249,000",2018,(254) 294-2301,76502,Power,"House Boats, Other",80',Other,Aluminum,Gas
https://www.boattrader.com/listing/1999-sumerset-77-x-16-103713668/,"$249,950",1999,(512) 746-7467,78734,Power,House Boats,77',Other,Aluminum,
https://www.boattrader.com/listing/1929-custom-built-commuter-yacht-73-103596123/,"$122,750",1929,(941) 914-9217,34233,Power,"Antique and Classics, Motor Yachts, Antique and Classics",73',Twin Inboard,Wood,Diesel
https://www.boattrader.com/listing/1985-hatteras-72-motor-yacht-103049356/,"$349,000",1985,(409) 877-5378,77554,Power,Motor Yachts,72',Twin Inboard,Fiberglass,Diesel
https://www.boattrader.com/listing/1999-sumerset-72-houseboat-103367861/,"$239,990",1999,(214) 220-4713,75056,Power,House Boats,72',Other,Aluminum,Gas
https://www.boattrader.com/listing/1988-hatteras-70-cockpit-motor-yacht-103309514/,"$229,000",1988,(409) 877-5378,77554,Power,Motor Yachts,70',Twin Inboard,Fiberglass,Diesel
https://www.boattrader.com/listing/1999-monticello-river-yacht-103605381/,"$149,900",1999,(502) 289-0604,40059,Power,"House Boats, Motor Yachts",70',Twin Inboard,Aluminum,Gas
https://www.boattrader.com/listing/2006-neptunus-70-motoryacht-103698403/,"$1,094,944",2006,(239) 572-9285,33904,Power,Motor Yachts,70',Twin Inboard,Fiberglass,Diesel
https://www.boattrader.com/listing/1989-hatteras-67-cockpit-motor-yacht-103712642/,"$379,000",1989,(409) 877-5378,77554,Power,Motor Yachts,67',Twin Inboard,Fiberglass,Diesel
https://www.boattrader.com/listing/1988-hatteras-67-cockpit-motor-yacht-103607303/,"$379,000",1988,(409) 877-5378,77554,Power,Motor Yachts,67',Twin Inboard,Fiberglass,Diesel
https://www.boattrader.com/listing/1995-custom-a1-103690131/,"$349,900",1995,(409) 877-5378,77554,Power,Commercial Boats,65',Twin Inboard,Fiberglass,Diesel
https://www.boattrader.com/listing/1998-custom-carolina-65-custom-convertible-103182847/,"$749,000",1998,(409) 877-5378,77554,Power,"Sports Fishing Boats, Convertible Boats",65',Twin Inboard,Fiberglass,Diesel
https://www.boattrader.com/listing/1995-de-groot-20-meter-holland-craft-103450187/,"$149,000",1995,(954) 856-2689,33301,Power,Motor Yachts,65',Other,Steel,Diesel
https://www.boattrader.com/listing/1994-hatteras-65-convertible-97020492/,"$374,950",1994,(361) 717-7162,78373,Power,"Convertible Boats, Sports Fishing Boats, Saltwater Fishing",65',Twin Inboard,Fiberglass,Diesel
https://www.boattrader.com/listing/1987-hatteras-65-convertible-103169821/,"$174,900",1987,(850) 600-6828,32541,Power,"Sports Fishing Boats, Convertible Boats",65',Twin Inboard,Fiberglass,Diesel
https://www.boattrader.com/listing/1988-hatteras-65-sport-fisherman-103476784/,"$394,900",1988,(855) 922-4877,03840,Power,"Sports Fishing Boats, Motor Yachts",65',Twin Inboard,Fiberglass,Diesel
https://www.boattrader.com/listing/2017-sea-ray-l650-fly-103655117/,"$2,200,000",2017,(866) 441-0058,77586,Power,Motor Yachts,65',Twin Inboard,Fiberglass,Diesel
https://www.boattrader.com/listing/1998-thoroughbred-65ft-houseboat-103705721/,"$135,000",1998,(830) 541-7833,78133,Power,House Boats,65',Other,Aluminum,Gas
https://www.boattrader.com/listing/2004-viking-convertible-103417151/,"$999,000",2004,(361) 717-7162,78373,Power,"Sports Fishing Boats, Convertible Boats, Saltwater Fishing",65',Other,Fiberglass,Diesel
https://www.boattrader.com/listing/2003-viking-princess-65-motor-yacht-103654439/,"$499,900",2003,(409) 877-5378,77554,Power,Motor Yachts,65',Twin Inboard,Fiberglass,Diesel
https://www.boattrader.com/listing/1963-stewart-seacraft-64-crew-boat-with-2013-engines-102428207/,"$117,995",1963,(941) 914-9217,34233,Power,"Other, Passenger",64',Twin Inboard,Aluminum,Diesel
https://www.boattrader.com/listing/2015-titan-64-convertible-103712761/,"$2,795,000",2015,(409) 877-5378,77554,Power,"Sports Fishing Boats, Convertible Boats",64',Twin Inboard,Fiberglass,Diesel
https://www.boattrader.com/listing/1988-merritt-convertible-103289969/,"$599,000",1988,(361) 717-7162,78373,Power,Convertible Boats,62',Twin Inboard,Wood,Diesel
https://www.boattrader.com/listing/1981-hatteras-cockpit-motor-yacht-102279897/,"$225,000",1981,(561) 220-6208,33410,Power,Motor Yachts,61',Twin Inboard,Fiberglass,Diesel
https://www.boattrader.com/listing/2002-viking-61-convertible-103686561/,"$699,000",2002,(850) 600-6828,32541,Power,Convertible Boats,61',Twin Inboard,Fiberglass,Diesel
https://www.boattrader.com/listing/2003-viking-convertible-103390709/,"$579,000",2003,(361) 717-7162,78373,Power,"Convertible Boats, Saltwater Fishing, Sports Fishing Boats",61',Twin Inboard,Fiberglass,Diesel
https://www.boattrader.com/listing/2000-blackwell-60-convertible-103673770/,"$595,000",2000,(409) 877-5378,77554,Power,"Sports Fishing Boats, Convertible Boats",60',Twin Inboard,Fiberglass,Diesel
https://www.boattrader.com/listing/2016-cruisers-yachts-60-cantius-103684034/,"$1,490,000",2016,(972) 818-5614,75074,Power,Cruisers,60',Twin Inboard,Fiberglass,Diesel
https://www.boattrader.com/listing/2018-nauticstar-nautic-bay-1910-nauticbay-103666919/,"$25,995",2018,(281) 729-4802,77586,Power,Center Consoles,59',Single Outboard,Fiberglass,Gas
https://www.boattrader.com/listing/1995-gibson-5900-ss-wide-body-103508429/,"$112,500",1995,(941) 914-9217,34233,Power,"House Boats, Trawlers, Motor Yachts",59',Twin Inboard,Fiberglass,Gas
https://www.boattrader.com/listing/1980-hatteras-58-wide-body-103632583/,"$199,500",1980,(954) 856-2689,33301,Power,Motor Yachts,58',Twin Inboard,Fiberglass,Diesel
https://www.boattrader.com/listing/1980-hatteras-yacht-fisherman-103657465/,"$275,000",1980,(504) 608-2106,70124,Power,"Motor Yachts, Sports Fishing Boats, Mega Yachts",58',Other,Fiberglass,Diesel
