Posting_Link,Price,Year,Contact,ZipCode,Class,Category,Length,Make,Material,Fuel
https://www.boattrader.com/listing/2019-key-west-239-dfs-103456584/,Request a Price,2019,(508) 557-2441,02601,Power,"Dual Console, Other",239',Single Outboard,Fiberglass,Gas
https://www.boattrader.com/listing/2020-premier-230-sunsation-rl-103664774/,Request a Price,2020,(585) 302-2426,14550,Power,Pontoon Boats,230',Single Outboard,Aluminum,Gas
https://www.boattrader.com/listing/2019-skeeter-sx-2250-103483707/,"$64,950",2019,(609) 357-5068,08224,Power,"Saltwater Fishing, Bass Boats, Center Consoles",225',Single Outboard,Composite,Gas
https://www.boattrader.com/listing/2005-crownline-220-ex-103674180/,"$23,995",2005,(603) 605-1216,03253,Power,Bowrider,220',Other,Fiberglass,Gas
https://www.boattrader.com/listing/1987-blount-luxury-dinner-yacht-gpc--101698530/,"$2,950,000",1987,(440) 276-2318,44060,Power,Commercial Boats,197',Other,Steel,Diesel
https://www.boattrader.com/listing/2020-scarab-195-id-103707751/,Request a Price,2020,(631) 651-6106,11946,Power,Jet Boats,190',Single Inboard,Fiberglass,Gas
https://www.boattrader.com/listing/1983-palmer-johnson-tri-masted-staysail-103415122/,"$4,500,000",1983,(954) 371-0258,33316,Sails,Antique and Classics,157',Single Inboard,Aluminum,Diesel
https://www.boattrader.com/listing/2011-leopard-46m-103708420/,"$14,214,510",2011,37797772720,98000,Power,Mega Yachts,152',Other,Fiberglass,Diesel
https://www.boattrader.com/listing/1945-custom-defoe-shipbuilding-explorer-103074101/,"$2,950,000",1945,(757) 267-6674,23669,Power,"Mega Yachts, Cruise Ship",145',Twin Inboard,Steel,Diesel
https://www.boattrader.com/listing/1991-custom-dinner-yacht-103345683/,"$2,100,000",1991,(732) 587-5503,08724,Power,"Commercial Boats, Cruise Ship, Passenger",125',Twin Inboard,Steel,Diesel
https://www.boattrader.com/listing/1956-custom-3-300-hp-tug-103288927/,"$279,945",1956,(239) 572-9285,33904,Power,Tug,110',Other,Steel,
https://www.boattrader.com/listing/2020-hatteras-105-raised-pilothouse-103703328/,Request a Price,2020,(508) 388-5628,02748,Power,Motor Yachts,105',Other,Fiberglass,Diesel
https://www.boattrader.com/listing/1953-tugboat-gulfport-shipbuilding-corp--103689514/,"$950,000",1953,(401) 285-2775,02840,Power,Tug,105',Other,Steel,
https://www.boattrader.com/listing/1985-broward-raised-pilot-house-103272055/,"$695,000",1985,(954) 637-8372,33004,Power,"Pilothouse, Motor Yachts",102',Other,Aluminum,Diesel
https://www.boattrader.com/listing/1953-custom-model-bow-tug-5-750-hp-103678602/,"$469,975",1953,(239) 572-9285,33904,Power,Tug,97',Other,Steel,Diesel
https://www.boattrader.com/listing/2008-ketch-rigged-wood-motor-sailer-103689545/,"$1,800,000",2008,(401) 285-2775,02840,Sails,Ketch,94',Twin Inboard,Wood,Diesel
https://www.boattrader.com/listing/1999-vitters-cruising-ketch-103689506/,"$2,750,000",1999,(401) 285-2775,02840,Sails,Cruisers,93',Other,Aluminum,Diesel
https://www.boattrader.com/listing/2014-pershing-motoryacht-103468605/,"$5,495,000",2014,(561) 818-1442,33410,Power,"Motor Yachts, Cruisers",92',Twin Inboard,Fiberglass,Diesel
https://www.boattrader.com/listing/2020-viking-92-convertible-103531082/,Request a Price,2020,(609) 418-4415,08204,Power,"Convertible Boats, Sports Fishing Boats",92',Twin Inboard,Composite,Diesel
https://www.boattrader.com/listing/2020-viking-92-enclosed-bridge-103673976/,Request a Price,2020,(941) 241-2404,34216,Power,Sports Fishing Boats,92',Twin Inboard,Fiberglass,Diesel
https://www.boattrader.com/listing/2019-bennington--22-ssrcxp-103635309/,Request a Price,2019,(301) 691-2913,21550,Power,Pontoon Boats,91',Single Outboard,Aluminum,Gas
https://www.boattrader.com/listing/1935-trumpy-mathis-motor-yacht-103689558/,"$200,000",1935,(401) 285-2775,02840,Power,Motor Yachts,85',Twin Inboard,Wood,Diesel
https://www.boattrader.com/listing/2006-princess-84-flybridge-103474844/,"$1,995,000",2006,(516) 851-3078,11520,Power,Motor Yachts,84',Other,Fiberglass,Diesel
https://www.boattrader.com/listing/2018-offshore-yachts-euro-style-catamaran-102886375/,"$7,750,000",2018,(850) 428-0866,36561,Power,"Power Catamarans, Motor Yachts, Sports Cruiser",83',Twin Inboard,Composite,Diesel
https://www.boattrader.com/listing/2020-viking-82-cockpit-motor-yacht-103652572/,Request a Price,2020,(941) 241-2404,34216,Power,Motor Yachts,82',Twin Inboard,Fiberglass,Diesel
https://www.boattrader.com/listing/1977-broward-81-motoryacht-103582765/,"$795,000",1977,(207) 223-7586,04101,Power,"Pilothouse, Motor Yachts, Flybridge",81',Twin Inboard,Aluminum,Diesel
https://www.boattrader.com/listing/1967-burger-motoryacht-103612895/,"$724,900",1967,(954) 371-0258,33316,Power,Motor Yachts,81',Twin Inboard,Aluminum,Diesel
https://www.boattrader.com/listing/1985-hatteras-80-cpmy-103471258/,"$389,000",1985,(941) 914-9217,34233,Power,"Motor Yachts, Convertible Boats, Aft Cabin",80',Twin Inboard,Fiberglass,Diesel
https://www.boattrader.com/listing/2001-lazzara-cabriolet-cockpit-motoryacht-103162460/,"$399,000",2001,(561) 346-2367,33316,Power,"Motor Yachts, Pilothouse",80',Twin Inboard,Fiberglass,Diesel
https://www.boattrader.com/listing/2020-silent-yachts-silent-80-103689820/,"$4,790,000",2020,(732) 587-5503,08724,Power,"Power Catamarans, Mega Yachts",80',Other,Composite,Electric
https://www.boattrader.com/listing/2020-viking-80-convertible-102595649/,Request a Price,2020,(561) 722-1047,33410,Power,"Convertible Boats, Sports Fishing Boats, Convertible Boats",80',Twin Inboard,Fiberglass,Diesel
https://www.boattrader.com/listing/2020-viking-80-convertible-103211147/,Request a Price,2020,(609) 418-4415,08204,Power,"Convertible Boats, Sports Fishing Boats, Saltwater Fishing",80',Twin Inboard,Composite,Diesel
https://www.boattrader.com/listing/2020-viking-80-skybridge-103673937/,Request a Price,2020,(941) 241-2404,34216,Power,Sports Fishing Boats,80',Twin Inboard,Fiberglass,Diesel
https://www.boattrader.com/listing/2019-ferretti-780-ht-103539816/,Request a Price,2019,(954) 462-5527,33316,Power,Flybridge,79',Other,Fiberglass,Diesel
