Posting_Link,Price,Year,Contact,ZipCode,Class,Category,Length,Make,Material,Fuel
https://www.boattrader.com/listing/2020-nor-tech-390--103643961/,Request a Price,2020,(239) 572-9212,33931,Power,Center Consoles,390',Other,Fiberglass,
https://www.boattrader.com/listing/2009-floating-boutique-hotel-barge-102552746/,"$5,900,000",2009,(727) 314-7988,33712,Power,"Barge, Commercial Boats",375',Other,Steel,
https://www.boattrader.com/listing/2020-caymas-28hb-103656982/,Request a Price,2020,(888) 965-1753,31525,Power,Center Consoles,325',Other,Fiberglass,
https://www.boattrader.com/listing/2020-blackjack-256-103695916/,Request a Price,2020,(888) 965-1753,31525,Power,"Center Consoles, Freshwater Fishing, Saltwater Fishing",300',Single Outboard,Fiberglass,Gas
https://www.boattrader.com/listing/2020-caymas-26hb-103610968/,Request a Price,2020,(888) 965-1753,31525,Power,Bay Boats,300',Other,Fiberglass,
https://www.boattrader.com/listing/2019-nauticstar-22xs-103630773/,"$54,980",2019,(888) 965-1753,31525,Power,Center Consoles,300',Other,Fiberglass,
https://www.boattrader.com/listing/2019-nauticstar-227-xts-103586108/,"$41,980",2019,(888) 965-1753,31525,Power,"Bay Boats, Saltwater Fishing, Center Consoles",289',Other,Fiberglass,
https://www.boattrader.com/listing/2019-nauticstar-223dc-sport-deck-103586927/,"$49,980",2019,(888) 965-1753,31525,Power,"Deck Boats, Ski and Fish, Dual Console",280',Single Outboard,Fiberglass,Gas
https://www.boattrader.com/listing/2014-stingray-214lr-103705080/,"$34,995",2014,(386) 603-9152,34482,Power,Deck Boats,260',Other,Other,Other
https://www.boattrader.com/listing/2007-crownline-boats-240-ex-103700362/,"$29,999",2007,18669067249,33908,Power,Bowrider,250',Other,Fiberglass,Gas
https://www.boattrader.com/listing/2019-sea-pro-248-103596847/,"$74,999",2019,(912) 348-5168,31565,Power,Bay Boats,248',Other,Fiberglass,
https://www.boattrader.com/listing/2020-blackjack-224-103696153/,Request a Price,2020,(888) 965-1753,31525,Power,"Center Consoles, Saltwater Fishing, Freshwater Fishing",245',Single Outboard,Fiberglass,Gas
https://www.boattrader.com/listing/2000-grady-white-seafarer-103711828/,"$25,400",2000,(772) 277-7042,33455,Power,Cuddy Cabin,226',Other,Fiberglass,
https://www.boattrader.com/listing/2007-shadow-marine-expedition-mothership-103607922/,"$6,990,000",2007,(772) 631-7702,34994,Power,Mega Yachts,220',Twin Inboard,Steel,Diesel
https://www.boattrader.com/listing/2020-tidewater-198-c-c-103712037/,Request a Price,2020,(251) 273-1541,36609,Power,Commercial Boats,198',Other,Fiberglass,
https://www.boattrader.com/listing/2020-majesty-majesty-175-103704941/,Request a Price,2020,(772) 232-4822,34994,Power,Mega Yachts,175',Other,Fiberglass,Diesel
https://www.boattrader.com/listing/2004-oceanfast-custom-superyacht-103506010/,"$14,900,000",2004,(786) 789-1580,33139,Power,Mega Yachts,174',Twin Inboard,Aluminum,Diesel
https://www.boattrader.com/listing/2008-trinity-yachts-tri-deck-103678033/,"$13,900,000",2008,(954) 371-0258,33316,Power,Motor Yachts,161',Twin Inboard,Aluminum,Diesel
https://www.boattrader.com/listing/2004-pendennis-high-performance-motorsailer-103689116/,"$9,975,000",2004,(954) 324-2855,33315,Sails,Motorsailers,156',Other,Aluminum,Diesel
