Posting_Link,Price,Year,Contact,ZipCode,Class,Category,Length,Make,Material,Fuel
https://www.boattrader.com/listing/2019-malibu-wakesetter-24-mxz-103490800/,Request a Price,2019,(702) 745-5593,89015,Power,Ski and Wakeboard Boats,999',Single Inboard,Fiberglass,Gas
https://www.boattrader.com/listing/2020-nor-tech-390--103643961/,Request a Price,2020,(239) 572-9212,33931,Power,Center Consoles,390',Other,Fiberglass,
https://www.boattrader.com/listing/2009-floating-boutique-hotel-barge-102552746/,"$5,900,000",2009,(727) 314-7988,33712,Power,"Barge, Commercial Boats",375',Other,Steel,
https://www.boattrader.com/listing/2020-caymas-28hb-103656982/,Request a Price,2020,(888) 965-1753,31525,Power,Center Consoles,325',Other,Fiberglass,
https://www.boattrader.com/listing/2020-blackjack-256-103695916/,Request a Price,2020,(888) 965-1753,31525,Power,"Center Consoles, Freshwater Fishing, Saltwater Fishing",300',Single Outboard,Fiberglass,Gas
https://www.boattrader.com/listing/2020-caymas-26hb-103610968/,Request a Price,2020,(888) 965-1753,31525,Power,Bay Boats,300',Other,Fiberglass,
https://www.boattrader.com/listing/2019-nauticstar-22xs-103630773/,"$54,980",2019,(888) 965-1753,31525,Power,Center Consoles,300',Other,Fiberglass,
https://www.boattrader.com/listing/2019-nauticstar-227-xts-103586108/,"$41,980",2019,(888) 965-1753,31525,Power,"Bay Boats, Saltwater Fishing, Center Consoles",289',Other,Fiberglass,
https://www.boattrader.com/listing/2019-nauticstar-223dc-sport-deck-103586927/,"$49,980",2019,(888) 965-1753,31525,Power,"Deck Boats, Ski and Fish, Dual Console",280',Single Outboard,Fiberglass,Gas
https://www.boattrader.com/listing/2012-godfrey-san-pan-2500-103660295/,"$52,998",2012,(866) 689-9698,77301,Power,Pontoon Boats,278',Single Outboard,Aluminum,Gas
https://www.boattrader.com/listing/2014-stingray-214lr-103705080/,"$34,995",2014,(386) 603-9152,34482,Power,Deck Boats,260',Other,Other,Other
https://www.boattrader.com/listing/2007-crownline-boats-240-ex-103700362/,"$29,999",2007,18669067249,33908,Power,Bowrider,250',Other,Fiberglass,Gas
https://www.boattrader.com/listing/2019-sea-pro-248-103596847/,"$74,999",2019,(912) 348-5168,31565,Power,Bay Boats,248',Other,Fiberglass,
https://www.boattrader.com/listing/2020-blackjack-224-103696153/,Request a Price,2020,(888) 965-1753,31525,Power,"Center Consoles, Saltwater Fishing, Freshwater Fishing",245',Single Outboard,Fiberglass,Gas
https://www.boattrader.com/listing/2019-bentley-pontoons-240-crre-103455671/,"$37,500",2019,(951) 419-5978,92571,Power,Pontoon Boats,240',Single Outboard,Aluminum,Gas
https://www.boattrader.com/listing/2019-key-west-239-dfs-103456584/,Request a Price,2019,(508) 557-2441,02601,Power,"Dual Console, Other",239',Single Outboard,Fiberglass,Gas
https://www.boattrader.com/listing/1992-sea-ray-weekender-23-103624199/,"$19,500",1992,(859) 518-8435,40475,Power,"Express Cruiser, Cruisers",235',Other,Fiberglass,Gas
https://www.boattrader.com/listing/2020-premier-230-sunsation-rl-103664774/,Request a Price,2020,(585) 302-2426,14550,Power,Pontoon Boats,230',Single Outboard,Aluminum,Gas
https://www.boattrader.com/listing/1999-godfrey-hurricane-226-103700403/,"$16,995",1999,(631) 402-9336,86403,Power,Deck Boats,226',Other,Aluminum,Other
https://www.boattrader.com/listing/2000-grady-white-seafarer-103711828/,"$25,400",2000,(772) 277-7042,33455,Power,Cuddy Cabin,226',Other,Fiberglass,
https://www.boattrader.com/listing/2019-crest-crest-i-220-slc-103694425/,"$38,995",2019,(731) 207-4633,38341,Power,Pontoon Boats,220',Other,Aluminum,
https://www.boattrader.com/listing/2005-crownline-220-ex-103674180/,"$23,995",2005,(603) 605-1216,03253,Power,Bowrider,220',Other,Fiberglass,Gas
https://www.boattrader.com/listing/2007-shadow-marine-expedition-mothership-103607922/,"$6,990,000",2007,(772) 631-7702,34994,Power,Mega Yachts,220',Twin Inboard,Steel,Diesel
https://www.boattrader.com/listing/2020-nautique-210-super-air-nautique-103692932/,Request a Price,2020,(972) 818-5835,75067,Power,Ski and Wakeboard Boats,210',Other,Fiberglass,Gas
https://www.boattrader.com/listing/2020-crest-classic-lx-l-200-103717855/,Request a Price,2020,(517) 236-7802,49253,Power,Pontoon Boats,202',Other,Aluminum,
https://www.boattrader.com/listing/2020-tidewater-198-c-c-103712037/,Request a Price,2020,(251) 273-1541,36609,Power,Commercial Boats,198',Other,Fiberglass,
https://www.boattrader.com/listing/1987-blount-luxury-dinner-yacht-gpc--101698530/,"$2,950,000",1987,(440) 276-2318,44060,Power,Commercial Boats,197',Other,Steel,Diesel
https://www.boattrader.com/listing/2020-scarab-195-id-103707751/,Request a Price,2020,(631) 651-6106,11946,Power,Jet Boats,190',Single Inboard,Fiberglass,Gas
https://www.boattrader.com/listing/2007-ranger-180-vs-103669922/,"$16,995",2007,(740) 224-5681,43019,Power,Freshwater Fishing,186',Other,Fiberglass,
https://www.boattrader.com/listing/2020-majesty-majesty-175-103704941/,Request a Price,2020,(772) 232-4822,34994,Power,Mega Yachts,175',Other,Fiberglass,Diesel
https://www.boattrader.com/listing/2004-oceanfast-custom-superyacht-103506010/,"$14,900,000",2004,(786) 789-1580,33139,Power,Mega Yachts,174',Twin Inboard,Aluminum,Diesel
https://www.boattrader.com/listing/2019-g3-sportsman-103575534/,"$22,000",2019,(918) 417-1663,74145,Power,Freshwater Fishing,170',Other,Other,Other
https://www.boattrader.com/listing/2008-trinity-yachts-tri-deck-103678033/,"$13,900,000",2008,(954) 371-0258,33316,Power,Motor Yachts,161',Twin Inboard,Aluminum,Diesel
https://www.boattrader.com/listing/1989-macarrini-1989-103689528/,"$1,450,000",1989,(401) 285-2775,02840,Sails,Motorsailers,158',Other,Wood,Diesel
https://www.boattrader.com/listing/1983-palmer-johnson-tri-masted-staysail-103415122/,"$4,500,000",1983,(954) 371-0258,33316,Sails,Antique and Classics,157',Single Inboard,Aluminum,Diesel
https://www.boattrader.com/listing/2004-pendennis-high-performance-motorsailer-103689116/,"$9,975,000",2004,(954) 324-2855,33315,Sails,Motorsailers,156',Other,Aluminum,Diesel
https://www.boattrader.com/listing/2020-majesty-majesty-155-103098045/,Request a Price,2020,(772) 232-4822,34994,Power,"Mega Yachts, Motor Yachts",155',Other,Fiberglass,Diesel
https://www.boattrader.com/listing/2019-ocean-alexander-155-megayacht-102878250/,Request a Price,2019,(888) 719-3246,33759,Power,Mega Yachts,155',Twin Inboard,Fiberglass,Diesel
https://www.boattrader.com/listing/2019-ocean-alexander-motor-yacht-103117787/,Request a Price,2019,(206) 472-1626,98109,Power,Motor Yachts,155',Other,Fiberglass,Diesel
https://www.boattrader.com/listing/1999-duckworth-passenger-vessel-103319626/,"$650,000",1999,(813) 437-1921,34652,Power,"Commercial Boats, Passenger",154',Other,Steel,Diesel
